pollno,race,year,location,type_simple,type_detail,pollster,pollster_rating_id,polldate,samplesize,cand1_name,cand1_pct,cand2_name,cand2_pct,cand3_pct,margin_poll,electiondate,cand1_actual,cand2_actual,margin_actual,error,bias,rightcall,comment,partisan
5380004,1998_Sen-G_NV,1998,NV,Sen-G,Sen-G,FM3 Research,91,10/13/1998,1418,Democrat,49,Republican,44,NA,5,11/3/1998,47.88,47.78,0.1,4.9,4.9,1,"previously listed as Fairbank, Maslin, Maullin, Metz & Associates",D
5380005,1998_Sen-G_NY,1998,NY,Sen-G,Sen-G,Blum & Weprin Associates,32,10/13/1998,364,Democrat,44,Republican,52,NA,-8,11/3/1998,54.62,44.08,10.54,18.54,-18.54,0,NA,NA
5380006,1998_Sen-G_NY,1998,NY,Sen-G,Sen-G,Garin-Hart-Yang Research Group,113,10/13/1998,902,Democrat,46,Republican,42,NA,4,11/3/1998,54.62,44.08,10.54,6.54,-6.54,1,NA,D
5380007,1998_Sen-G_OH,1998,OH,Sen-G,Sen-G,University of Cincinnati (Ohio Poll),346,10/13/1998,540,Democrat,34,Republican,62,NA,-28,11/3/1998,43.53,56.46,-12.93,15.07,-15.07,1,NA,NA
5380014,1998_Sen-G_AZ,1998,AZ,Sen-G,Sen-G,Behavior Research Center (Rocky Mountain),27,10/14/1998,519,Democrat,18,Republican,60,NA,-42,11/3/1998,27.16,68.74,-41.58,0.42,-0.42,1,NA,NA
5380015,1998_Sen-G_IL,1998,IL,Sen-G,Sen-G,WCIA-TV,373,10/14/1998,401,Democrat,37,Republican,54,NA,-17,11/3/1998,47.44,50.35,-2.91,14.09,-14.09,1,NA,NA
5380016,1998_Sen-G_WI,1998,WI,Sen-G,Sen-G,St. Norbert College,313,10/14/1998,415,Democrat,47,Republican,40,NA,7,11/3/1998,50.55,48.4,2.15,4.850000000000001,4.850000000000001,1,NA,NA
5380021,1998_Sen-G_GA,1998,GA,Sen-G,Sen-G,University of Georgia,350,10/15/1998,500,Democrat,29,Republican,46,NA,-17,11/3/1998,45.15,52.37,-7.22,9.78,-9.78,1,NA,NA
5380022,1998_Sen-G_NY,1998,NY,Sen-G,Sen-G,Zogby Interactive/JZ Analytics,395,10/15/1998,706,Democrat,37,Republican,42,NA,-5,11/3/1998,54.62,44.08,10.54,15.54,-15.54,0,"previously listed as Zogby Analytics, telephone",NA
5380023,1998_Sen-G_WI,1998,WI,Sen-G,Sen-G,University of Wisconsin Milwaukee,366,10/15/1998,269,Democrat,46,Republican,44,NA,2,11/3/1998,50.55,48.4,2.15,0.15,-0.15,1,previously listed as University Wisconsin-Milwaukee,NA
5380029,1998_Sen-G_CT,1998,CT,Sen-G,Sen-G,Quinnipiac University,267,10/16/1998,683,Democrat,61,Republican,29,NA,32,11/3/1998,65.15,32.37,32.78,0.78,-0.78,1,NA,NA
5380030,1998_Sen-G_IL,1998,IL,Sen-G,Sen-G,University of Illinois at Chicago,352,10/16/1998,597,Democrat,31,Republican,48,NA,-17,11/3/1998,47.44,50.35,-2.91,14.09,-14.09,1,NA,NA
5380031,1998_Sen-G_MD,1998,MD,Sen-G,Sen-G,Mason-Dixon Polling & Research Inc.,197,10/16/1998,821,Democrat,67,Republican,26,NA,41,11/3/1998,70.5,29.5,41,0,0,1,NA,NA
5380039,1998_Sen-G_FL,1998,FL,Sen-G,Sen-G,Mason-Dixon Polling & Research Inc.,197,10/17/1998,836,Democrat,58,Republican,32,NA,26,11/3/1998,62.47,37.53,24.94,1.06,1.06,1,NA,NA
5380048,1998_Sen-G_KY,1998,KY,Sen-G,Sen-G,TMR Research,328,10/18/1998,800,Democrat,44,Republican,39,NA,5,11/3/1998,49.16,49.75,-0.59,5.59,5.59,0,NA,NA
5380049,1998_Sen-G_OH,1998,OH,Sen-G,Sen-G,Gordon S. Black Corp.,123,10/18/1998,1012,Democrat,28,Republican,51,NA,-23,11/3/1998,43.53,56.46,-12.93,10.07,-10.07,1,NA,NA
5380050,1998_Sen-G_OK,1998,OK,Sen-G,Sen-G,Tulsa Surveys,341,10/18/1998,750,Democrat,16,Republican,63,NA,-47,11/3/1998,31.28,66.38,-35.1,11.9,-11.9,1,NA,NA
5380056,1998_Sen-G_CA,1998,CA,Sen-G,Sen-G,Los Angeles Times,172,10/19/1998,883,Democrat,49,Republican,44,NA,5,11/3/1998,53.06,43.01,10.05,5.05,-5.05,1,NA,NA
5380057,1998_Sen-G_IL,1998,IL,Sen-G,Sen-G,Market Shares Corp.,187,10/19/1998,1099,Democrat,38,Republican,48,NA,-10,11/3/1998,47.44,50.35,-2.91,7.09,-7.09,1,NA,NA
5380078,1998_Sen-G_AZ,1998,AZ,Sen-G,Sen-G,Harris Insights & Analytics,133,10/20/1998,732,Democrat,18,Republican,66,NA,-48,11/3/1998,27.16,68.74,-41.58,6.42,-6.42,1,"previously listed as Harris Interactive, online; previously listed as Harris Interactive",NA
5380079,1998_Sen-G_CA,1998,CA,Sen-G,Sen-G,Harris Insights & Analytics,133,10/20/1998,4531,Democrat,46,Republican,45,NA,1,11/3/1998,53.06,43.01,10.05,9.05,-9.05,1,"previously listed as Harris Interactive, online; previously listed as Harris Interactive",NA
5380080,1998_Sen-G_CO,1998,CO,Sen-G,Sen-G,Harris Insights & Analytics,133,10/20/1998,614,Democrat,37,Republican,55,NA,-18,11/3/1998,35.01,62.47,-27.46,9.46,9.46,1,"previously listed as Harris Interactive, online; previously listed as Harris Interactive",NA
5380081,1998_Sen-G_FL,1998,FL,Sen-G,Sen-G,Harris Insights & Analytics,133,10/20/1998,2295,Democrat,60,Republican,31,NA,29,11/3/1998,62.47,37.53,24.94,4.06,4.06,1,"previously listed as Harris Interactive, online; previously listed as Harris Interactive",NA
5380082,1998_Sen-G_GA,1998,GA,Sen-G,Sen-G,Harris Insights & Analytics,133,10/20/1998,1174,Democrat,37,Republican,53,NA,-16,11/3/1998,45.15,52.37,-7.22,8.78,-8.78,1,"previously listed as Harris Interactive, online; previously listed as Harris Interactive",NA
5380083,1998_Sen-G_IL,1998,IL,Sen-G,Sen-G,Harris Insights & Analytics,133,10/20/1998,1209,Democrat,38,Republican,52,NA,-14,11/3/1998,47.44,50.35,-2.91,11.09,-11.09,1,"previously listed as Harris Interactive, online; previously listed as Harris Interactive",NA
5380084,1998_Sen-G_IL,1998,IL,Sen-G,Sen-G,Illinois Wesleyan University,147,10/20/1998,423,Democrat,31,Republican,53,NA,-22,11/3/1998,47.44,50.35,-2.91,19.09,-19.09,1,NA,NA
