pollno,race,year,location,type_simple,type_detail,pollster,pollster_rating_id,polldate,samplesize,cand1_name,cand1_pct,cand2_name,cand2_pct,cand3_pct,margin_poll,electiondate,cand1_actual,cand2_actual,margin_actual,error,bias,rightcall,comment,partisan
5380001,1998_House-G_ID-1,1998,ID-1,House-G,House-G,Garin-Hart-Yang Research Group,113,10/13/1998,372,Democrat,44,Republican,42,NA,2,11/3/1998,44.73,55.27,-10.54,12.54,12.54,0,NA,D
5380002,1998_House-G_ID-2,1998,ID-2,House-G,House-G,Garin-Hart-Yang Research Group,113,10/13/1998,400,Democrat,42,Republican,36,NA,6,11/3/1998,44.69,52.51,-7.82,13.82,13.82,0,NA,D
5380003,1998_House-G_US,1998,US,House-G,House-G,Zogby Interactive/JZ Analytics,395,10/13/1998,864,Democrat,39,Republican,36,NA,3,11/3/1998,46.42,47.99,-1.57,4.57,4.57,0,"previously listed as Zogby Analytics, telephone",NA
5380004,1998_Sen-G_NV,1998,NV,Sen-G,Sen-G,FM3 Research,91,10/13/1998,1418,Democrat,49,Republican,44,NA,5,11/3/1998,47.88,47.78,0.1,4.9,4.9,1,"previously listed as Fairbank, Maslin, Maullin, Metz & Associates",D
5380005,1998_Sen-G_NY,1998,NY,Sen-G,Sen-G,Blum & Weprin Associates,32,10/13/1998,364,Democrat,44,Republican,52,NA,-8,11/3/1998,54.62,44.08,10.54,18.54,-18.54,0,NA,NA
5380006,1998_Sen-G_NY,1998,NY,Sen-G,Sen-G,Garin-Hart-Yang Research Group,113,10/13/1998,902,Democrat,46,Republican,42,NA,4,11/3/1998,54.62,44.08,10.54,6.54,-6.54,1,NA,D
5380007,1998_Sen-G_OH,1998,OH,Sen-G,Sen-G,University of Cincinnati (Ohio Poll),346,10/13/1998,540,Democrat,34,Republican,62,NA,-28,11/3/1998,43.53,56.46,-12.93,15.07,-15.07,1,NA,NA
5380013,1998_House-G_MT-1,1998,MT-1,House-G,House-G,Moore Information,217,10/14/1998,400,Democrat,36,Republican,51,NA,-15,11/3/1998,44.4,53,-8.6,6.4,-6.4,1,NA,R
5380014,1998_Sen-G_AZ,1998,AZ,Sen-G,Sen-G,Behavior Research Center (Rocky Mountain),27,10/14/1998,519,Democrat,18,Republican,60,NA,-42,11/3/1998,27.16,68.74,-41.58,0.42,-0.42,1,NA,NA
5380015,1998_Sen-G_IL,1998,IL,Sen-G,Sen-G,WCIA-TV,373,10/14/1998,401,Democrat,37,Republican,54,NA,-17,11/3/1998,47.44,50.35,-2.91,14.09,-14.09,1,NA,NA
5380016,1998_Sen-G_WI,1998,WI,Sen-G,Sen-G,St. Norbert College,313,10/14/1998,415,Democrat,47,Republican,40,NA,7,11/3/1998,50.55,48.4,2.15,4.850000000000001,4.850000000000001,1,NA,NA
5380019,1998_House-G_NC-8,1998,NC-8,House-G,House-G,Wirthlin Worldwide,387,10/15/1998,505,Democrat,39,Republican,51,NA,-12,11/3/1998,49,51,-2,10,-10,1,NA,R
5380020,1998_House-G_US,1998,US,House-G,House-G,Yankelovich Partners Inc.,390,10/15/1998,442,Democrat,47,Republican,47,NA,0,11/3/1998,46.42,47.99,-1.57,1.57,1.57,0.5,NA,NA
5380021,1998_Sen-G_GA,1998,GA,Sen-G,Sen-G,University of Georgia,350,10/15/1998,500,Democrat,29,Republican,46,NA,-17,11/3/1998,45.15,52.37,-7.22,9.78,-9.78,1,NA,NA
5380022,1998_Sen-G_NY,1998,NY,Sen-G,Sen-G,Zogby Interactive/JZ Analytics,395,10/15/1998,706,Democrat,37,Republican,42,NA,-5,11/3/1998,54.62,44.08,10.54,15.54,-15.54,0,"previously listed as Zogby Analytics, telephone",NA
5380023,1998_Sen-G_WI,1998,WI,Sen-G,Sen-G,University of Wisconsin Milwaukee,366,10/15/1998,269,Democrat,46,Republican,44,NA,2,11/3/1998,50.55,48.4,2.15,0.15,-0.15,1,previously listed as University Wisconsin-Milwaukee,NA
5380027,1998_House-G_US,1998,US,House-G,House-G,Hill Research Consultants,140,10/16/1998,600,Democrat,41,Republican,38,NA,3,11/3/1998,46.42,47.99,-1.57,4.57,4.57,0,NA,NA
5380028,1998_House-G_US,1998,US,House-G,House-G,Pew Research Center,253,10/16/1998,743,Democrat,43,Republican,48,NA,-5,11/3/1998,46.42,47.99,-1.57,3.43,-3.43,1,NA,NA
5380029,1998_Sen-G_CT,1998,CT,Sen-G,Sen-G,Quinnipiac University,267,10/16/1998,683,Democrat,61,Republican,29,NA,32,11/3/1998,65.15,32.37,32.78,0.78,-0.78,1,NA,NA
5380030,1998_Sen-G_IL,1998,IL,Sen-G,Sen-G,University of Illinois at Chicago,352,10/16/1998,597,Democrat,31,Republican,48,NA,-17,11/3/1998,47.44,50.35,-2.91,14.09,-14.09,1,NA,NA
5380031,1998_Sen-G_MD,1998,MD,Sen-G,Sen-G,Mason-Dixon Polling & Research Inc.,197,10/16/1998,821,Democrat,67,Republican,26,NA,41,11/3/1998,70.5,29.5,41,0,0,1,NA,NA
5380036,1998_House-G_CA-46,1998,CA-46,House-G,House-G,Los Angeles Times,172,10/17/1998,1000,Democrat,48,Republican,34,NA,14,11/3/1998,56.4,39.2,17.2,3.2,-3.2,1,NA,NA
5380037,1998_House-G_IN-10,1998,IN-10,House-G,House-G,Massie & Associates,199,10/17/1998,300,Democrat,37,Republican,38,NA,-1,11/3/1998,58.3,39.4,18.9,19.9,-19.9,0,NA,R
5380038,1998_House-G_US,1998,US,House-G,House-G,ABC News/Washington Post,3,10/17/1998,548,Democrat,47,Republican,48,NA,-1,11/3/1998,46.42,47.99,-1.57,0.5700000000000001,0.5700000000000001,1,NA,NA
5380039,1998_Sen-G_FL,1998,FL,Sen-G,Sen-G,Mason-Dixon Polling & Research Inc.,197,10/17/1998,836,Democrat,58,Republican,32,NA,26,11/3/1998,62.47,37.53,24.94,1.06,1.06,1,NA,NA
5380044,1998_House-G_HI-1,1998,HI-1,House-G,House-G,Mason-Dixon Polling & Research Inc.,197,10/18/1998,221,Democrat,50,Republican,36,NA,14,11/3/1998,59.8,35.3,24.5,10.5,-10.5,1,NA,NA
5380045,1998_House-G_KY-6,1998,KY-6,House-G,House-G,TMR Research,328,10/18/1998,700,Democrat,44,Republican,41,NA,3,11/3/1998,46,53.1,-7.100000000000001,10.1,10.1,0,NA,NA
5380046,1998_House-G_ND-1,1998,ND-1,House-G,House-G,Wilson Research Strategies,384,10/18/1998,300,Democrat,49,Republican,40,NA,9,11/3/1998,56.2,41.1,15.1,6.100000000000001,-6.100000000000001,1,NA,R
5380047,1998_House-G_WA-1,1998,WA-1,House-G,House-G,Lauer Lalley Victoria Inc.,168,10/18/1998,368,Democrat,43,Republican,39,5,4,11/3/1998,49.8,44.1,5.7,1.7,-1.7,1,NA,D
5380048,1998_Sen-G_KY,1998,KY,Sen-G,Sen-G,TMR Research,328,10/18/1998,800,Democrat,44,Republican,39,NA,5,11/3/1998,49.16,49.75,-0.59,5.59,5.59,0,NA,NA
5380049,1998_Sen-G_OH,1998,OH,Sen-G,Sen-G,Gordon S. Black Corp.,123,10/18/1998,1012,Democrat,28,Republican,51,NA,-23,11/3/1998,43.53,56.46,-12.93,10.07,-10.07,1,NA,NA
5380050,1998_Sen-G_OK,1998,OK,Sen-G,Sen-G,Tulsa Surveys,341,10/18/1998,750,Democrat,16,Republican,63,NA,-47,11/3/1998,31.28,66.38,-35.1,11.9,-11.9,1,NA,NA
5380055,1998_House-G_US,1998,US,House-G,House-G,Wirthlin Worldwide,387,10/19/1998,415,Democrat,41,Republican,45,NA,-4,11/3/1998,46.42,47.99,-1.57,2.43,-2.43,1,NA,NA
5380056,1998_Sen-G_CA,1998,CA,Sen-G,Sen-G,Los Angeles Times,172,10/19/1998,883,Democrat,49,Republican,44,NA,5,11/3/1998,53.06,43.01,10.05,5.05,-5.05,1,NA,NA
5380057,1998_Sen-G_IL,1998,IL,Sen-G,Sen-G,Market Shares Corp.,187,10/19/1998,1099,Democrat,38,Republican,48,NA,-10,11/3/1998,47.44,50.35,-2.91,7.09,-7.09,1,NA,NA
5380076,1998_House-G_MT-1,1998,MT-1,House-G,House-G,Mason-Dixon Polling & Research Inc.,197,10/20/1998,819,Democrat,37,Republican,52,NA,-15,11/3/1998,44.4,53,-8.6,6.4,-6.4,1,NA,NA
5380077,1998_House-G_UT-2,1998,UT-2,House-G,House-G,Valley Research,368,10/20/1998,452,Democrat,42,Republican,41,NA,1,11/3/1998,43.4,52.7,-9.3,10.3,10.3,0,aka Salt Lake Tribune,NA
5380078,1998_Sen-G_AZ,1998,AZ,Sen-G,Sen-G,Harris Insights & Analytics,133,10/20/1998,732,Democrat,18,Republican,66,NA,-48,11/3/1998,27.16,68.74,-41.58,6.42,-6.42,1,"previously listed as Harris Interactive, online; previously listed as Harris Interactive",NA
5380079,1998_Sen-G_CA,1998,CA,Sen-G,Sen-G,Harris Insights & Analytics,133,10/20/1998,4531,Democrat,46,Republican,45,NA,1,11/3/1998,53.06,43.01,10.05,9.05,-9.05,1,"previously listed as Harris Interactive, online; previously listed as Harris Interactive",NA
5380080,1998_Sen-G_CO,1998,CO,Sen-G,Sen-G,Harris Insights & Analytics,133,10/20/1998,614,Democrat,37,Republican,55,NA,-18,11/3/1998,35.01,62.47,-27.46,9.46,9.46,1,"previously listed as Harris Interactive, online; previously listed as Harris Interactive",NA
5380081,1998_Sen-G_FL,1998,FL,Sen-G,Sen-G,Harris Insights & Analytics,133,10/20/1998,2295,Democrat,60,Republican,31,NA,29,11/3/1998,62.47,37.53,24.94,4.06,4.06,1,"previously listed as Harris Interactive, online; previously listed as Harris Interactive",NA
5380082,1998_Sen-G_GA,1998,GA,Sen-G,Sen-G,Harris Insights & Analytics,133,10/20/1998,1174,Democrat,37,Republican,53,NA,-16,11/3/1998,45.15,52.37,-7.22,8.78,-8.78,1,"previously listed as Harris Interactive, online; previously listed as Harris Interactive",NA
5380083,1998_Sen-G_IL,1998,IL,Sen-G,Sen-G,Harris Insights & Analytics,133,10/20/1998,1209,Democrat,38,Republican,52,NA,-14,11/3/1998,47.44,50.35,-2.91,11.09,-11.09,1,"previously listed as Harris Interactive, online; previously listed as Harris Interactive",NA
5380084,1998_Sen-G_IL,1998,IL,Sen-G,Sen-G,Illinois Wesleyan University,147,10/20/1998,423,Democrat,31,Republican,53,NA,-22,11/3/1998,47.44,50.35,-2.91,19.09,-19.09,1,NA,NA
5380085,1998_Sen-G_IL,1998,IL,Sen-G,Sen-G,KRC/Communications Research,160,10/20/1998,400,Democrat,40,Republican,50,NA,-10,11/3/1998,47.44,50.35,-2.91,7.09,-7.09,1,NA,NA
5380086,1998_Sen-G_IN,1998,IN,Sen-G,Sen-G,Harris Insights & Analytics,133,10/20/1998,831,Democrat,63,Republican,27,NA,36,11/3/1998,63.72,34.79,28.93,7.07,7.07,1,"previously listed as Harris Interactive, online; previously listed as Harris Interactive",NA
5380087,1998_Sen-G_MD,1998,MD,Sen-G,Sen-G,Harris Insights & Analytics,133,10/20/1998,911,Democrat,67,Republican,27,NA,40,11/3/1998,70.5,29.5,41,1,-1,1,"previously listed as Harris Interactive, online; previously listed as Harris Interactive",NA
5380088,1998_Sen-G_NC,1998,NC,Sen-G,Sen-G,Harris Insights & Analytics,133,10/20/1998,1163,Democrat,47,Republican,38,NA,9,11/3/1998,51.15,47.01,4.14,4.86,4.86,1,"previously listed as Harris Interactive, online; previously listed as Harris Interactive",NA
5380089,1998_Sen-G_NY,1998,NY,Sen-G,Sen-G,Harris Insights & Analytics,133,10/20/1998,1792,Democrat,44,Republican,46,NA,-2,11/3/1998,54.62,44.08,10.54,12.54,-12.54,0,"previously listed as Harris Interactive, online; previously listed as Harris Interactive",NA
