draw,seats,natl,AK,AL,AR,AZ,CO,DE,GA,GA-S,IA,ID,IL,KS,KY,LA,MA,ME,MI,MN,MS,MT,NC,NE,NH,NJ,NM,OK,OR,RI,SC,SD,TN,TX,VA,WV,WY
1,53,0.536478,0.458864,0.400549,0.513719,0.522789,0.566382,0.640936,0.490179,0.522877,0.467202,0.331235,0.631669,0.35019,0.433097,0.428585,0.646425,0.545907,0.56732,0.552243,0.386221,0.440737,0.503683,0.249834,0.555302,0.621046,0.537781,0.361,0.598741,0.698261,0.486631,0.434561,0.385075,0.453874,0.529051,0.383131,0.35022
2,50,0.554897,0.486381,0.409218,0.370817,0.497536,0.451132,0.716091,0.501546,0.444407,0.512292,0.342258,0.685735,0.471904,0.399121,0.408949,0.626235,0.542804,0.493828,0.56202,0.436149,0.49669,0.517119,0.360229,0.600263,0.64284,0.546,0.359453,0.604798,0.704414,0.434451,0.339942,0.457941,0.48013,0.620908,0.351619,0.346221
3,50,0.52911,0.466488,0.423316,0.512811,0.467501,0.551098,0.668246,0.507582,0.483998,0.493341,0.324201,0.640866,0.374425,0.444476,0.406249,0.632463,0.511503,0.503448,0.555603,0.41901,0.48224,0.478233,0.28384,0.558671,0.589684,0.494487,0.345931,0.589294,0.617503,0.447406,0.413986,0.410843,0.454232,0.536041,0.341678,0.25706
4,55,0.556082,0.493983,0.427608,0.444183,0.50081,0.526522,0.646028,0.538412,0.547465,0.507369,0.352042,0.664084,0.421913,0.490307,0.400259,0.651192,0.523694,0.524053,0.567385,0.457543,0.506987,0.519291,0.314155,0.59215,0.646451,0.562803,0.41293,0.617587,0.721672,0.478825,0.401693,0.44138,0.479317,0.603463,0.451988,0.312927
5,54,0.556893,0.456119,0.449562,0.363238,0.518957,0.557059,0.719721,0.532207,0.518394,0.476355,0.485167,0.645914,0.489889,0.459476,0.355801,0.612822,0.565638,0.598343,0.603864,0.442829,0.443071,0.557108,0.315978,0.632534,0.696558,0.520512,0.406181,0.59752,0.704063,0.502108,0.392858,0.346702,0.479018,0.621792,0.325358,0.34131
6,49,0.533607,0.49441,0.41431,0.446844,0.501197,0.515675,0.617258,0.497672,0.452587,0.492451,0.317125,0.634493,0.416998,0.445586,0.385342,0.706494,0.522695,0.519435,0.497702,0.47188,0.492989,0.51019,0.287327,0.493774,0.582065,0.573057,0.338342,0.660375,0.758918,0.459376,0.412311,0.489335,0.446874,0.560826,0.38726,0.329506
7,56,0.561394,0.525317,0.487171,0.315898,0.519488,0.550132,0.694615,0.557129,0.56091,0.466162,0.407781,0.687902,0.548819,0.533143,0.319545,0.695129,0.562792,0.609902,0.574602,0.496069,0.525808,0.486194,0.334147,0.611968,0.712568,0.572224,0.489843,0.604121,0.724205,0.490175,0.469635,0.420979,0.471558,0.62765,0.368834,0.276859
8,55,0.539115,0.481894,0.452452,0.388424,0.496713,0.592832,0.628871,0.536613,0.550584,0.54895,0.436498,0.692793,0.433868,0.477942,0.367905,0.713955,0.524556,0.546624,0.569448,0.485709,0.529248,0.505816,0.347185,0.570151,0.665171,0.507169,0.408534,0.655698,0.713461,0.520277,0.425171,0.442151,0.429622,0.556007,0.358705,0.317461
9,52,0.543258,0.436137,0.40411,0.353824,0.515046,0.555257,0.687438,0.496385,0.484057,0.470395,0.356422,0.593746,0.445602,0.410311,0.465799,0.624994,0.588505,0.570294,0.573251,0.452195,0.430045,0.541517,0.301379,0.608008,0.607861,0.561896,0.307605,0.505021,0.772788,0.46453,0.41535,0.37639,0.514669,0.613669,0.355405,0.262889
10,50,0.534084,0.393952,0.420901,0.381214,0.48995,0.533169,0.70915,0.503421,0.435883,0.488764,0.37597,0.681016,0.41813,0.386943,0.337003,0.62208,0.537024,0.572013,0.576279,0.396587,0.445228,0.466454,0.323438,0.546848,0.65281,0.601297,0.375314,0.617367,0.705768,0.411852,0.376175,0.393081,0.454973,0.599093,0.348072,0.301024
